,AutoARIMA,N-BEATS,Prophet,Best model
FFRS125X65E,0.8292682926829268,1.9878048780487805,0.9024390243902439,AutoARIMA
FFRS125X80E,4.951219512195122,6.451219512195122,5.402439024390244,AutoARIMA
FFRS1400X1000E,0.0,2.3048780487804876,0.0,AutoARIMA
FFRS1400X1200E,0.0,1.6829268292682926,0.0,AutoARIMA
FFRS150X100E,20.536585365853657,26.073170731707318,24.28048780487805,AutoARIMA
FFRS150X125E,6.2926829268292686,8.134146341463415,6.695121951219512,AutoARIMA
FFRS150X50E,9.585365853658537,7.658536585365853,10.182926829268293,N-BEATS
FFRS150X65E,1.951219512195122,2.658536585365854,1.9634146341463414,AutoARIMA
FFRS150X80E,13.963414634146341,15.426829268292684,14.597560975609756,AutoARIMA
FFRS200X100E,5.7073170731707314,7.951219512195122,6.146341463414634,AutoARIMA
FFRS200X100E/16,3.207317073170732,4.451219512195122,3.6219512195121952,AutoARIMA
FFRS200X150E,9.524390243902438,10.963414634146341,9.878048780487806,AutoARIMA
FFRS200X150E/16,3.341463414634146,4.439024390243903,3.5365853658536586,AutoARIMA
FFRS200X80E,3.1951219512195124,4.5,3.5365853658536586,AutoARIMA
FFRS200X80E/16,1.5609756097560976,2.1219512195121952,1.1341463414634145,Prophet
FFRS250X100E,2.073170731707317,4.402439024390244,2.5,AutoARIMA
FFRS250X100E/16,0.4878048780487805,1.6951219512195121,1.2195121951219512,AutoARIMA
FFRS250X150E,2.975609756097561,4.280487804878049,3.268292682926829,AutoARIMA
FFRS250X150E/16,1.7560975609756098,2.6341463414634148,2.0609756097560976,AutoARIMA
FFRS250X200E,4.536585365853658,4.939024390243903,4.451219512195122,Prophet
FFRS250X200E/16,2.292682926829268,4.439024390243903,2.402439024390244,AutoARIMA
FFRS250X80E,0.5609756097560976,2.0609756097560976,0.9512195121951219,AutoARIMA
FFRS250X80E/16,0.21951219512195122,2.1707317073170733,0.21951219512195122,AutoARIMA
FFRS300X100E,1.5365853658536586,2.4390243902439024,1.475609756097561,Prophet
FFRS300X100E/16,0.32926829268292684,1.3414634146341464,0.9146341463414634,AutoARIMA
FFRS300X150E,2.1707317073170733,3.292682926829268,2.1463414634146343,Prophet
FFRS300X150E/16,1.2439024390243902,1.6951219512195121,1.2439024390243902,AutoARIMA
FFRS300X200E,3.8048780487804876,4.658536585365853,3.8536585365853657,AutoARIMA
FFRS300X200E/16,2.073170731707317,3.975609756097561,2.073170731707317,AutoARIMA
FFRS300X250E,3.097560975609756,4.658536585365853,3.5365853658536586,AutoARIMA
FFRS300X250E/16,6.073170731707317,7.926829268292683,6.109756097560975,AutoARIMA
FFRS300X80E,0.36585365853658536,1.7926829268292683,0.5121951219512195,AutoARIMA
FFRS300X80E/16,0.04878048780487805,1.7073170731707317,0.04878048780487805,AutoARIMA
FFRS350X200E,1.3902439024390243,1.975609756097561,1.2439024390243902,Prophet
FFRS350X200E/16,0.024390243902439025,5.280487804878049,0.4024390243902439,AutoARIMA
FFRS350X250E,0.36585365853658536,1.4146341463414633,0.9146341463414634,AutoARIMA
FFRS350X250E/16,0.14634146341463414,1.7195121951219512,0.4878048780487805,AutoARIMA
FFRS350X300E,2.7560975609756095,3.024390243902439,2.731707317073171,Prophet
FFRS350X300E/16,5.219512195121951,8.560975609756097,6.048780487804878,AutoARIMA
